Name,Section,Title,Day,Start Time,End Time,Location,Instructor
REL 122,S1,World Religions,TTh,5:15 PM,6:30 PM,GF-C109,Hamza Bin Sajjad
CND 401,D2,Capstone I,Th,8:30 AM,11:50 AM,H-506,Hasan Habib
COM 422,D1,Kya Yeh Sach Hai?,F,10:00 AM,1:20 PM,H-503,Haya Fatima Iqbal
EE 213L,T1,Electric Circuits II Lab,T,10:00 AM,1:00 PM,W-114,Hira Mustafa
EE/CE 100,T3,Intro to ECE,TTh,2:40 PM,5:40 PM,LG-C001,"Hira Mustafa
Waseem Hassan
Zeeshan Nafees"
BIO 111,L1,Food and Nutrition,WF,10:00 AM,11:15 AM,FF-W242,"Humaira Jamshed
Rabia Anees"
BIO 111L,T1,Food and Nutrition (Lab),F,3:30 PM,6:30 PM,W-121,"Humaira Jamshed
Rabia Anees"
BIO 121,L1,Introduction to Biochemistry,TTh,3:50 PM,5:05 PM,N-351,"Humaira Jamshed
Rabia Anees"
BIO 121L,T1,Biochemistry Lab,Th,10:00 AM,1:00 PM,W-121,"Humaira Jamshed
Rabia Anees"
BIO 112,L1,Genetics,TTh,2:25 PM,3:40 PM,H-501,Humaira Qureshi
BIO 101,L1,Cell Biology and Public Health,MW,11:30 AM,12:45 PM,W-321,"Humaira Qureshi
Sundus Irfan"
BIO 101L,T1,Cell Biology Lab,W,1:40 PM,4:40 PM,W-121,"Humaira Qureshi
Sundus Irfan"
CORE 121,S1,Jehan-e-Urdu,TTh,5:15 PM,6:30 PM,W-234,Inam Ullah
LANG 302,S1,Punjabi Rachna III,MW,3:30 PM,5:10 PM,H-506,Inam Ullah
LIT 301,S1,Partition in Fiction and Film,MW,1:00 PM,2:15 PM,GF-C109,Inam Ullah
CORE 121,L1,Jehan-e-Urdu,M,10:30 AM,11:20 AM,FF-E220,"Inam Ullah
Syed Afzal Ahmed
Zahra Sabri"
CORE 111,L1,Logical Problem Solving,MW,11:30 AM,1:10 PM,FF-C200,Irfan Muhammad
CORE 111,L2,Logical Problem Solving,MW,1:30 PM,3:10 PM,FF-C200,Irfan Muhammad
PHIL 122,S1,Introduction to Western Philos,MW,5:20 PM,6:35 PM,GF-C109,Irfan Muhammad
EE/CE 112,L1,Electric Circuits I,WF,8:30 AM,9:20 AM,FF-N220,Ishtiyaq Makda
CND 101,D2,Materials and Practices,TTh,10:30 AM,1:00 PM,FF-C200,Isma Hasan
DES 216,D1,Illustrating Words,MW,2:30 PM,5:00 PM,H-504,Isma Hasan
COM/LIT 327/320,S1,Abject in Urdu Lit,Th,10:30 AM,1:00 PM,H-505,Javeria Hasnain
CORE 101,S12,Rhetoric & Communication,WF,8:30 AM,9:45 AM,H-504,Javeria Hasnain
CORE 101,S6,Rhetoric & Communication,WF,11:30 AM,12:45 PM,H-502,Javeria Hasnain
COM 121,S1,Learning to Tell Stories,MW,4:20 PM,5:35 PM,H-507,Jawziya Farhat Zaman
CND 101,D1,Materials and Practices,TTh,2:30 PM,5:00 PM,FF-N219,Jovita Alvares
CND 101,D4,Materials and Practices,W,2:30 PM,5:00 PM,H-505,Jovita Alvares
CND 301,D2,"Image, Text, and Movement",TTh,10:30 AM,1:00 PM,H-507,Jovita Alvares
EE 213L,T2,Electric Circuits II Lab,Th,10:00 AM,1:00 PM,W-114,Khuzaima Ali Khan
EE/CE 100,T2,Intro to ECE,WF,9:40 AM,12:40 PM,LG-C001,"Khuzaima Ali Khan
Tariq Mumtaz
Zeeshan Nafees"
EE/CS 172L/130L,T3,Digital Logic and Design Lab,T,10:00 AM,1:00 PM,W-111,"Khuzaima Ali Khan
Tbd"
CS/CE 232L/324L,T4,Operating Systems (Lab),F,3:30 PM,6:30 PM,W-110,"Laiba Jamil
Munzir Zafar"
CS/CE 232L/324L,T2,Operating Systems (Lab),F,10:00 AM,1:00 PM,N-426,"Laiba Jamil
Tbd"
PHY 123,L1,Physics Unboxed,WF,8:30 AM,9:45 AM,GF-W100,"Mah Noor Jamil
Sameena Shahzaman"
HUM 101,L1,Critical Inquiry & Humanities,MW,11:30 AM,1:10 PM,FF-N220,"Marcia Hermansen
Muhammad Haris
Nahrain Al-Mousawi
Zahra Sabri"
CS/CE 355/373,L1,Database Systems,MF,11:30 AM,12:45 PM,FF-W243,Maria Samad
CS/CE 355/373,L2,Database Systems,TTh,10:00 AM,11:15 AM,E-011,Maria Samad
CS/CE 355L/373L,T1,Database Systems Lab,M,2:30 PM,5:30 PM,E-010,Maria Samad
CS/CE 355L/373L,T2,Database Systems Lab,W,2:30 PM,5:30 PM,N-426,Maria Samad
CND 402,D1,Transdisciplinary Practicum,M,9:30 AM,1:15 PM,H-505,Mariya Azher
COM 301,D1,New Media and Journalism,W,2:30 PM,6:15 PM,FF-E220,Mariya Azher
CND 401,D1,Capstone I,F,10:00 AM,1:20 PM,N-351,Mirza Muhammad Amir
DES 203,D2,Designing For & With People,F,3:30 PM,6:50 PM,H-501,Mirza Muhammad Amir
DES 219,D1,Typography,M,8:30 AM,11:50 AM,FF-W244,Mirza Muhammad Amir
DES 314,D1,"Awaam, Design aur Urdu",M,1:30 PM,4:50 PM,FF-W244,Mirza Muhammad Amir
ECON 101,L1,Principles of Microeconomics,WF,10:00 AM,11:15 AM,FF-N220,Mohammad Moeini Feizabadi
ECON 435,S1,Social Capital,TTh,2:25 PM,3:40 PM,GF-C109,Mohammad Moeini Feizabadi
CND 102,D1,Ideation and Processes,TTh,10:30 AM,1:00 PM,N-351,Momin Zafar
CND 102,D2,Ideation and Processes,TTh,2:30 PM,5:00 PM,E-011,Momin Zafar
ECON 313,S1,Political Economy of Dev.,TTh,8:30 AM,9:45 AM,N-426,Muhammad Ashar Khan
SDP/CND 223/255,L1,Intro to QGIS with GIS,F,10:30 AM,1:00 PM,W-234,Muhammad Ashar Khan
EE/CS 172/130,L1,Digital Logic and Design,M,4:00 PM,5:15 PM,W-234,Muhammad Farhan
PHIL 375,L1,Philosophy in the Anthropocene,WF,8:30 AM,10:10 AM,E-011,Muhammad Haris
CS 491,C6,Capstone (Kaavish) I,W,10:00 AM,11:15 AM,H-505,Muhammad Qasim Pasta
CS/CE 355/373,L3,Database Systems,MW,11:30 AM,12:45 PM,W-234,Muhammad Qasim Pasta
CS/CE 355L/373L,T3,Database Systems Lab,W,1:40 PM,4:40 PM,GF-E101,Muhammad Qasim Pasta
CS/SDP 361/352,L1,Social Network Analysis,TTh,3:50 PM,5:05 PM,E-010,Muhammad Qasim Pasta
CS/CE 355/373,L4,Database Systems,MW,11:30 AM,12:45 PM,GF-C109,Muhammad Umer Tariq
CS/CE 355/373,L5,Database Systems,MW,10:00 AM,11:15 AM,W-234,Muhammad Umer Tariq
CS/CE 355L/373L,T4,Database Systems Lab,M,2:30 PM,5:30 PM,N-425,Muhammad Umer Tariq
CS/CE 355L/373L,T5,Database Systems Lab,T,10:00 AM,1:00 PM,W-110,Muhammad Umer Tariq
CS 491,C4,Capstone (Kaavish) I,W,10:00 AM,11:15 AM,H-503,Muhammad Usman Arif
CS/CE 351/363,L4,Artificial Intelligence,MW,4:00 PM,5:15 PM,FF-N220,Muhammad Usman Arif
CS/SDP 312/314,L1,Data Science for Social Good,MW,11:30 AM,12:45 PM,FF-N219,Muhammad Usman Arif
MGMT 320,L1,Principles of Management,MW,4:00 PM,5:15 PM,FF-N219,Muhammad Wamiq
MGMT 323,L1,Supply Chain Management,MW,5:20 PM,6:35 PM,H-504,Muhammad Wamiq
COM/DES 342,D1,Devised Theatre,W,10:30 AM,2:15 PM,E-215,Muneera Batool
CE 491,C1,Capstone Design Project - I,F,11:30 AM,1:10 PM,LG31,Munzir Zafar
CE 491,C1,Capstone Design Project - I,T,10:00 AM,1:00 PM,LG31,Munzir Zafar
CS/CE 232/324,L4,Operating Systems,TTh,8:30 AM,9:45 AM,FF-N219,Munzir Zafar
EE 491,C1,Capstone Design Project I,F,11:30 AM,1:10 PM,LG31,Munzir Zafar
EE 491,C1,Capstone Design Project I,T,10:00 AM,1:00 PM,LG31,Munzir Zafar
CS/CE 224/272,L2,OOP & Design Methodologies,M,2:30 PM,3:45 PM,GF-E121,Nadia Nasir
CS/CE 224/272,L4,OOP & Design Methodologies,MW,10:00 AM,11:15 AM,N-351,Nadia Nasir
CS/CE 224L/272L,T2,OOP & Design Methodologies Lab,T,10:00 AM,1:00 PM,N-425,Nadia Nasir
CS/CE 224L/272L,T4,OOP & Design Methodologies Lab,W,2:30 PM,5:30 PM,N-425,Nadia Nasir
CORE 101,S1,Rhetoric & Communication,TTh,11:30 AM,12:45 PM,FF-N219,Nahrain Al-Mousawi
CORE 101,S14,Rhetoric & Communication,TTh,10:00 AM,11:15 AM,FF-N220,Nahrain Al-Mousawi
HIST/LIT 134,S1,Intro to Punjabi Sufi Lit,F,3:30 PM,6:00 PM,E-012,Naila Pervaiz
LANG 102,S1,Punjabi Rachna I,MW,3:30 PM,5:10 PM,N-351,Naila Pervaiz
LANG 104,S1,Introduction to Pushto,MW,11:30 AM,1:10 PM,N-351,Naimat Zada
LANG 304,L1,Pukhto Pohana III,MW,1:30 PM,3:10 PM,GF-W118,Naimat Zada
CORE 201,S3,Pakistan and Modern South Asia,TTh,10:00 AM,11:15 AM,H-509,Nauman Naqvi
HUM/PHIL 301,S1,Hermeneutics of the Self,MW,2:30 PM,4:10 PM,H-507,Nauman Naqvi
PHIL/REL 328,S1,Gentleness & Grace,WF,8:30 AM,9:45 AM,GF-E121,Nauman Naqvi
CS/DES 333/327,L1,Intro to HCI,TTh,11:30 AM,12:45 PM,H-501,Neelma Bhatti
HIST 230,L1,Global Histories,MF,8:30 AM,9:45 AM,H-509,Newal Osman
HUM/HIST 200A,L1,World Historical Figures,MF,10:30 AM,12:10 PM,E-011,Newal Osman
COM 251,D1,Introduction to Dance,F,3:30 PM,6:50 PM,E-215,Nighat Sultana Chaudhry
MUS/COM 114,D1,Art of Kathak,M,12:30 PM,3:50 PM,LG09,Nighat Sultana Chaudhry
CORE 201,S1,Pakistan and Modern South Asia,TTh,3:50 PM,5:05 PM,FF-N220,Noman Baig
REL/ANT 100,D1,Jamal: Islamic Aesthetic,W,11:30 AM,3:15 PM,FF-W243,Noman Baig
SDP 206,S2,Social Theory II,TTh,10:00 AM,11:15 AM,FF-W242,Noman Baig
CORE 200,L5,Scientific Methods,MW,1:00 PM,2:15 PM,FF-N219,Omar Farooq Anjum
PHY 111,L1,Concepts of Modern Physics,TTh,8:30 AM,9:45 AM,H-505,Omar Farooq Anjum
ANT 101,S1,Intro to Cultural Anthropology,TTh,11:30 AM,12:45 PM,GF-C109,Peter Olof Lagerqvist
SDP 212,L1,"Palestine, Mon Amour",M,10:30 AM,11:20 AM,H-503,Peter Olof Lagerqvist
SDP 212,S1,"Palestine, Mon Amour",W,1:30 PM,3:10 PM,H-502,Peter Olof Lagerqvist
CND 102,D3,Ideation and Processes,TTh,10:30 AM,1:00 PM,W-321,Rajaa Al Fatima Moini
COM 319,S1,Accessing the Liminal,TTh,8:30 AM,9:45 AM,FF-C200,Rajaa Al Fatima Moini
MATH 101,L3,Calculus I,TTh,8:30 AM,9:45 AM,E-012,Rameez Ragheb
MATH 101,L4,Calculus I,TTh,3:50 PM,5:05 PM,E-012,Rameez Ragheb
MATH 202,L3,Engineering Mathematics,TTh,2:25 PM,3:40 PM,FF-E220,Rameez Ragheb
MATH 202,L4,Engineering Mathematics,WF,8:30 AM,9:45 AM,FF-W242,Rameez Ragheb
CND 301,D1,"Image, Text, and Movement",TTh,10:30 AM,1:00 PM,H-504,Rohama Malik
CND 402,D2,Transdisciplinary Practicum,M,9:30 AM,1:15 PM,H-504,Rohama Malik
DES 310,D1,Illustrated Visions,MW,2:30 PM,5:00 PM,GF-C109,Rohama Malik
CS 101,L6,Algorithmic Problem Solving,W,10:30 AM,1:00 PM,E-011,Saba Saeed
CS 101L,T6,Algorithmic Problem SolvingLab,Th,10:00 AM,1:00 PM,E-003,Saba Saeed
CS/CE 224/272,L3,OOP & Design Methodologies,MW,10:00 AM,11:15 AM,GF-C109,Sadaf Alvi
CS/CE 224/272,L5,OOP & Design Methodologies,MW,8:30 AM,9:45 AM,W-234,Sadaf Alvi
