Name,Section,Title,Day,Start Time,End Time,Location,Instructor
CORE 101,S19,Rhetoric & Communication,W,4:00 PM,5:15 PM,E-011,Tbd
CORE 101,S2,Rhetoric & Communication,TTh,5:15 PM,6:30 PM,H-506,Tbd
CORE 101,S3,Rhetoric & Communication,TTh,5:15 PM,6:30 PM,FF-E220,Tbd
CORE 101,S8,Rhetoric & Communication,TTh,5:15 PM,6:30 PM,N-351,Tbd
CORE 111,L5,Logical Problem Solving,TTh,8:30 AM,10:10 AM,H-507,Tbd
CORE 111,L6,Logical Problem Solving,MW,11:30 AM,1:10 PM,FF-E220,Tbd
CORE 111,L8,Logical Problem Solving,M,2:30 PM,4:10 PM,FF-W242,Tbd
CORE 121,S2,Jehan-e-Urdu,WF,10:00 AM,11:15 AM,FF-N219,Tbd
CORE 121,S4,Jehan-e-Urdu,TTh,10:00 AM,11:15 AM,H-501,Tbd
CORE 200,L4,Scientific Methods,W,2:30 PM,3:45 PM,H-503,Tbd
CORE 201,S12,Pakistan and Modern South Asia,WF,8:30 AM,9:45 AM,H-506,Tbd
CORE 201,S2,Pakistan and Modern South Asia,TTh,3:50 PM,5:05 PM,FF-E220,Tbd
CORE 201,S4,Pakistan and Modern South Asia,TTh,3:50 PM,5:05 PM,H-507,Tbd
CORE 201,S8,Pakistan and Modern South Asia,TTh,8:30 AM,9:45 AM,H-501,Tbd
CS 101,L4,Algorithmic Problem Solving,T,10:30 AM,1:00 PM,H-503,Tbd
CS 101,L7,Algorithmic Problem Solving,F,10:30 AM,1:00 PM,E-012,Tbd
CS 101L,T4,Algorithmic Problem SolvingLab,F,3:30 PM,6:30 PM,E-010,Tbd
CS 101L,T7,Algorithmic Problem SolvingLab,F,3:30 PM,6:30 PM,N-425,Tbd
CS 319,L1,Software Quality Assurance,TTh,10:00 AM,11:15 AM,N-426,Tbd
CS 370,L1,Web and Mobile Development,MW,1:00 PM,2:15 PM,W-234,Tbd
CS 381,L1,Requirement Engineering,TTh,8:30 AM,9:45 AM,FF-W242,Tbd
CS/CE 224/272,L6,OOP & Design Methodologies,MW,10:00 AM,11:15 AM,H-509,Tbd
CS/CE 224/272,L7,OOP & Design Methodologies,MF,10:00 AM,11:15 AM,W-321,Tbd
CS/CE 224L/272L,T6,OOP & Design Methodologies Lab,T,10:00 AM,1:00 PM,GF-E101,Tbd
CS/CE 224L/272L,T7,OOP & Design Methodologies Lab,T,10:00 AM,1:00 PM,E-010,Tbd
CS/CE 232/324,L2,Operating Systems,TTh,3:50 PM,5:05 PM,H-503,Tbd
CS/CE 232/324,L6,Operating Systems,TTh,8:30 AM,9:45 AM,H-503,Tbd
CS/CE 232L/324L,T6,Operating Systems (Lab),F,3:30 PM,6:30 PM,N-426,Tbd
EE/CE 112,L3,Electric Circuits I,MW,8:30 AM,9:20 AM,GF-C109,Tbd
EE/CS 172/130,L2,Digital Logic and Design,TTh,5:15 PM,6:30 PM,E-011,Tbd
EE/CS 172/130,L3,Digital Logic and Design,TTh,8:30 AM,9:45 AM,FF-W243,Tbd
FYE 101,L1,First Year Fundamentals,W,2:30 PM,3:20 PM,H-506,Tbd
FYE 101,L10,First Year Fundamentals,M,1:30 PM,2:20 PM,FF-N220,Tbd
FYE 101,L2,First Year Fundamentals,F,12:30 PM,1:20 PM,FF-N220,Tbd
FYE 101,L3,First Year Fundamentals,M,2:30 PM,3:20 PM,FF-E220,Tbd
FYE 101,L4,First Year Fundamentals,F,10:30 AM,11:20 AM,H-509,Tbd
FYE 101,L5,First Year Fundamentals,M,9:30 AM,10:20 AM,FF-W243,Tbd
FYE 101,L6,First Year Fundamentals,F,3:30 PM,4:20 PM,FF-N220,Tbd
FYE 101,L7,First Year Fundamentals,F,11:30 AM,12:20 PM,H-509,Tbd
FYE 101,L8,First Year Fundamentals,M,10:30 AM,11:20 AM,FF-N220,Tbd
FYE 101,L9,First Year Fundamentals,W,1:30 PM,2:20 PM,H-507,Tbd
GSCP 401,L1,GSCP Prep School II (AHSS),M,5:30 PM,6:30 PM,FF-E220,Tbd
GSCP 401,C1,GSCP Prep School II (AHSS),F,8:30 AM,9:45 AM,FF-E220,Tbd
GSCP 402,L1,GSCP Prep School II (DSSE),M,5:30 PM,6:30 PM,FF-E220,Tbd
GSCP 402,C1,GSCP Prep School II (DSSE),M,8:30 AM,9:45 AM,GF-E121,Tbd
LANG 101,L1,Sindhi Sikhiya I,WF,8:30 AM,10:10 AM,FF-W244,Tbd
LANG 301,L1,Sindhi Sikhiya III,MW,1:30 PM,3:10 PM,N-351,Tbd
MATH 101,L7,Calculus I,W,2:30 PM,3:45 PM,H-509,Tbd
MATH 101,L8,Calculus I,TTh,8:30 AM,9:45 AM,W-234,Tbd
PLAY 113,D2,Design Your Habib Experience,M,11:30 AM,2:50 PM,H-502,Tbd
PLAY 113,D3,Design Your Habib Experience,M,11:30 AM,2:50 PM,N-347,Tbd
PLAY 113,D4,Design Your Habib Experience,M,11:30 AM,2:50 PM,N-347,Tbd
POLI 102,S1,Introduction to Political Sci,TTh,10:00 AM,11:15 AM,GF-C109,Tbd
CS 101,L1,Algorithmic Problem Solving,T,10:30 AM,1:00 PM,H-506,Unaiza Ahsan
CS 101,L2,Algorithmic Problem Solving,Th,10:30 AM,1:00 PM,H-502,Unaiza Ahsan
CS 101L,T1,Algorithmic Problem SolvingLab,W,2:30 PM,5:30 PM,E-010,Unaiza Ahsan
CS 101L,T2,Algorithmic Problem SolvingLab,F,10:00 AM,1:00 PM,E-010,Unaiza Ahsan
DATA/SDP 101/122,L1,Introduction to Data Analytics,TTh,8:30 AM,9:45 AM,W-110,Usman Salahuddin
DATA/SDP 101/122,L2,Introduction to Data Analytics,WF,8:30 AM,9:45 AM,GF-E101,Usman Salahuddin
SDP 213,S1,Food & Sustainability: MAXQDA,Th,10:30 AM,1:00 PM,H-503,Uswa Ali Memon
CORE 201,S10,Pakistan and Modern South Asia,TTh,5:15 PM,6:30 PM,E-012,Waleed Mir
CORE 201,S11,Pakistan and Modern South Asia,TTh,3:50 PM,5:05 PM,W-321,Waleed Mir
CE/CS 321/330,L1,Computer Architecture,M,2:30 PM,3:45 PM,N-426,Waseem Hassan
EE/CE 376L/332L,T1,Microcont & Interfacing (Lab),T,10:00 AM,1:00 PM,LG-C001,Waseem Hassan
CORE 101,S16,Rhetoric & Communication,WF,8:30 AM,9:45 AM,N-351,Xiaoxi Zhang
CORE 101,S5,Rhetoric & Communication,TTh,5:15 PM,6:30 PM,H-502,Xiaoxi Zhang
LIT 104,S1,What is World Literature,TTh,2:15 PM,3:40 PM,H-509,Xiaoxi Zhang
SDP 201,L2,Qualitative Research Methods,WF,11:30 AM,1:10 PM,H-507,Yasmeen Jamali
SOC 101,S1,Population and Society,MW,2:30 PM,3:45 PM,E-012,Yasmeen Jamali
CORE 121,S5,Jehan-e-Urdu,WF,10:00 AM,11:15 AM,H-504,Zahra Sabri
HS/LT/CM 255,L1,Language in South Asia,TTh,2:25 PM,3:40 PM,FF-N220,Zahra Sabri
HS/LT/MS 100,L1,Rumi: Text and Context,TTh,8:30 AM,9:45 AM,N-351,Zahra Sabri
EE 322L,T1,Analog and Digital Comm (Lab),F,3:30 PM,6:30 PM,W-111,Zareen Tabassum
CND 401,D3,Capstone I,F,3:30 PM,6:50 PM,FF-N219,Zuha Asif Siddiqui
CORE 101,S9,Rhetoric & Communication,TTh,5:15 PM,6:30 PM,W-321,Zuha Asif Siddiqui
